,mpg,cylinders,model year,origin,weight discrete,Displacement2,acceleration,horsepower
0,18.0,8,70,1,5,6,4,4
1,15.0,8,70,1,5,7,4,6
2,18.0,8,70,1,5,6,3,5
3,16.0,8,70,1,5,6,4,5
4,17.0,8,70,1,5,6,3,5
5,15.0,8,70,1,7,9,2,8
6,14.0,8,70,1,7,9,1,9
7,14.0,8,70,1,7,9,1,9
8,14.0,8,70,1,7,9,2,9
9,15.0,8,70,1,6,8,1,8
10,15.0,8,70,1,5,8,2,6
11,14.0,8,70,1,5,7,0,6
12,15.0,8,70,1,6,8,2,5
13,14.0,8,70,1,4,9,2,9
14,24.0,4,70,3,2,1,7,2
15,22.0,6,70,1,3,3,8,2
16,18.0,6,70,1,3,3,8,2
17,21.0,6,70,1,2,3,8,2
18,27.0,4,70,3,1,0,7,2
19,26.0,4,70,2,0,0,13,0
20,25.0,4,70,2,3,1,10,2
21,24.0,4,70,2,2,1,7,2
22,25.0,4,70,2,2,0,10,2
23,26.0,4,70,2,1,1,5,3
24,21.0,6,70,1,2,3,7,2
25,10.0,8,70,1,8,7,6,9
26,10.0,8,70,1,7,6,7,8
27,11.0,8,70,1,7,6,6,9
28,9.0,8,70,1,8,6,11,8
29,27.0,4,71,3,1,0,7,2
30,28.0,4,71,1,1,1,8,2
31,25.0,4,71,3,1,1,6,2
32,25.0,4,71,1,1,0,11,2
33,19.0,6,71,1,2,4,5,3
34,16.0,6,71,1,5,4,8,3
35,17.0,6,71,1,4,4,8,3
36,19.0,6,71,1,4,4,8,2
37,18.0,6,71,1,4,4,8,3
38,14.0,8,71,1,7,7,4,6
39,14.0,8,71,1,8,8,4,7
40,14.0,8,71,1,7,7,6,5
41,14.0,8,71,1,7,6,5,5
42,12.0,8,71,1,9,8,4,7
43,13.0,8,71,1,8,8,4,6
44,13.0,8,71,1,9,8,4,7
45,18.0,6,71,1,3,5,6,3
46,22.0,4,71,1,2,1,11,1
47,19.0,6,71,1,4,4,7,3
48,18.0,6,71,1,4,4,7,2
49,23.0,4,71,1,1,1,6,2
50,28.0,4,71,2,1,1,6,2
51,30.0,4,71,2,1,0,12,1
52,30.0,4,71,2,1,0,7,1
53,31.0,4,71,3,0,0,11,1
54,35.0,4,71,3,0,0,10,1
55,27.0,4,71,2,0,0,11,0
56,26.0,4,71,1,0,0,13,1
57,24.0,4,72,3,1,1,8,2
58,25.0,4,72,1,1,0,9,1
59,23.0,4,72,2,1,0,16,0
60,20.0,4,72,1,2,1,12,2
61,21.0,4,72,1,1,1,9,2
62,13.0,8,72,1,7,7,4,6
63,14.0,8,72,1,7,8,4,7
64,15.0,8,72,1,7,6,6,5
65,14.0,8,72,1,7,7,5,5
66,17.0,8,72,1,5,6,4,5
67,11.0,8,72,1,8,9,3,9
68,13.0,8,72,1,8,7,6,6
69,12.0,8,72,1,8,7,6,6
70,13.0,8,72,1,7,8,5,8
71,19.0,3,72,3,2,0,6,2
72,15.0,8,72,1,6,6,5,5
73,13.0,8,72,1,7,6,6,4
74,13.0,8,72,1,7,6,8,5
75,14.0,8,72,1,7,6,6,5
76,18.0,4,72,2,3,1,7,3
77,22.0,4,72,2,2,1,10,1
78,21.0,4,72,2,3,1,12,2
79,26.0,4,72,2,1,0,10,1
80,22.0,4,72,1,2,1,8,2
81,28.0,4,72,3,1,0,9,2
82,23.0,4,72,3,2,1,7,2
83,28.0,4,72,1,1,0,7,1
84,27.0,4,72,3,1,0,9,2
85,13.0,8,73,1,7,7,5,7
86,14.0,8,73,1,5,6,4,5
87,13.0,8,73,1,6,7,5,5
88,14.0,8,73,1,6,6,7,5
89,15.0,8,73,1,6,6,5,5
90,12.0,8,73,1,9,9,4,8
91,13.0,8,73,1,8,8,4,5
92,13.0,8,73,1,7,7,5,6
93,14.0,8,73,1,7,6,7,5
94,13.0,8,73,1,8,9,3,9
95,12.0,8,73,1,9,9,3,9
96,13.0,8,73,1,6,7,3,7
97,18.0,6,73,1,4,4,9,3
98,16.0,6,73,1,4,4,10,3
99,18.0,6,73,1,3,4,8,3
100,18.0,6,73,1,4,4,9,2
101,23.0,6,73,1,3,3,8,2
102,26.0,4,73,2,0,0,13,0
103,11.0,8,73,1,9,8,6,5
104,12.0,8,73,1,9,8,5,6
105,13.0,8,73,1,8,7,5,6
106,12.0,8,73,1,8,7,5,7
107,18.0,6,73,1,3,4,7,3
108,20.0,4,73,3,1,0,11,2
109,21.0,4,73,1,2,1,12,1
110,22.0,4,73,3,2,1,9,2
111,18.0,3,73,3,1,0,6,2
112,19.0,4,73,1,1,1,11,2
113,21.0,6,73,1,2,2,6,3
114,26.0,4,73,2,1,0,8,2
115,15.0,8,73,1,7,7,5,5
116,16.0,8,73,1,7,8,2,9
117,29.0,4,73,2,0,0,12,0
118,24.0,4,73,2,1,1,8,1
119,20.0,4,73,2,2,1,6,2
120,19.0,4,73,2,3,1,8,3
121,15.0,8,73,1,5,6,3,5
122,24.0,4,73,2,2,1,6,3
123,20.0,6,73,3,3,2,6,4
124,11.0,8,73,1,5,7,3,7
125,20.0,6,74,1,4,3,9,2
126,21.0,6,74,1,3,3,9,2
127,19.0,6,74,1,3,4,8,3
128,15.0,6,74,1,4,4,9,3
129,31.0,4,74,3,0,0,11,1
130,26.0,4,74,1,2,1,9,1
131,32.0,4,74,3,0,0,13,1
132,25.0,4,74,1,2,1,9,1
133,16.0,6,74,1,6,4,9,3
134,16.0,6,74,1,5,5,10,3
135,18.0,6,74,1,5,4,9,3
136,16.0,8,74,1,7,6,6,5
137,13.0,8,74,1,8,7,7,5
138,14.0,8,74,1,8,6,6,5
139,14.0,8,74,1,8,6,8,5
140,14.0,8,74,1,7,6,8,5
141,29.0,4,74,2,1,0,9,2
142,26.0,4,74,2,0,0,8,1
143,26.0,4,74,2,1,0,7,1
144,31.0,4,74,3,0,0,9,0
145,32.0,4,74,3,1,0,11,0
146,28.0,4,74,1,1,0,7,1
147,24.0,4,74,2,1,0,8,1
148,26.0,4,74,2,1,1,6,1
149,24.0,4,74,3,2,1,7,2
150,26.0,4,74,3,2,1,8,2
151,31.0,4,74,2,1,0,8,1
152,19.0,6,75,1,4,4,8,2
153,18.0,6,75,1,5,4,8,3
154,15.0,6,75,1,5,4,13,1
155,15.0,6,75,1,4,4,12,1
156,16.0,8,75,1,8,8,4,6
157,15.0,8,75,1,8,7,6,5
158,16.0,8,75,1,8,6,7,5
159,14.0,8,75,1,8,7,6,5
160,17.0,6,75,1,6,4,13,3
161,16.0,6,75,1,6,4,11,3
162,15.0,6,75,1,6,5,11,3
163,18.0,6,75,1,6,4,11,2
164,21.0,6,75,1,4,4,7,3
165,20.0,8,75,1,4,5,6,3
166,13.0,8,75,1,4,6,4,4
167,29.0,4,75,3,1,0,8,1
168,23.0,4,75,1,2,1,9,2
169,20.0,6,75,1,3,4,8,3
170,23.0,4,75,1,2,1,11,1
171,24.0,4,75,3,3,1,6,2
172,25.0,4,75,2,1,0,9,1
173,24.0,4,75,3,2,1,9,2
174,18.0,6,75,1,3,2,7,2
175,29.0,4,75,2,0,0,6,1
176,19.0,6,75,1,4,4,9,2
177,23.0,4,75,2,3,1,7,2
178,23.0,4,75,2,3,1,9,2
179,22.0,4,75,2,3,1,7,2
180,25.0,4,75,2,3,1,6,3
181,33.0,4,75,3,0,0,10,0
182,28.0,4,76,2,2,1,8,2
183,25.0,4,76,2,1,1,9,1
184,25.0,4,76,1,2,1,7,2
185,26.0,4,76,1,1,0,10,1
186,27.0,4,76,2,1,0,8,2
187,17.5,8,76,1,7,6,5,5
188,16.0,8,76,1,7,6,5,5
189,15.5,8,76,1,6,6,6,4
190,14.5,8,76,1,7,7,5,5
191,22.0,6,76,1,4,4,8,3
192,22.0,6,76,1,4,4,7,3
193,24.0,6,76,1,3,3,10,1
194,22.5,6,76,1,4,4,10,2
195,29.0,4,76,1,1,0,15,0
196,24.5,4,76,1,1,0,15,0
197,29.0,4,76,2,0,0,7,1
198,33.0,4,76,3,0,0,10,0
199,20.0,6,76,1,5,4,10,3
200,18.0,6,76,1,5,4,13,1
201,18.5,6,76,1,5,4,9,3
202,17.5,6,76,1,4,5,10,2
203,29.5,4,76,2,0,0,5,1
204,32.0,4,76,3,1,0,9,1
205,28.0,4,76,3,1,0,9,1
206,26.5,4,76,1,2,1,6,1
207,20.0,4,76,2,4,1,8,3
208,13.0,8,76,1,6,6,6,5
209,19.0,4,76,2,4,1,14,2
210,19.0,6,76,3,3,2,8,3
211,16.5,6,76,2,6,2,9,4
212,16.5,8,76,1,7,7,5,7
213,13.0,8,76,1,6,7,4,5
214,13.0,8,76,1,6,6,7,4
215,13.0,8,76,1,6,6,6,5
216,31.5,4,77,3,1,0,11,1
217,30.0,4,77,1,1,1,7,1
218,36.0,4,77,2,0,0,11,0
219,25.5,4,77,1,1,1,8,2
220,33.5,4,77,3,0,0,9,1
221,17.5,8,77,1,6,6,5,5
222,17.0,8,77,1,6,5,11,3
223,15.5,8,77,1,7,6,6,5
224,15.0,8,77,1,7,6,7,4
225,17.5,6,77,1,5,4,9,3
226,20.5,6,77,1,5,4,9,3
227,19.0,6,77,1,5,4,10,3
228,18.5,6,77,1,5,4,11,2
229,16.0,8,77,1,7,8,4,7
230,15.5,8,77,1,7,7,4,6
231,15.5,8,77,1,7,8,5,8
232,16.0,8,77,1,7,7,7,5
233,29.0,4,77,2,0,0,7,1
234,24.5,4,77,1,3,2,8,2
235,26.0,4,77,3,1,0,11,1
236,25.5,4,77,1,3,1,8,2
237,30.5,4,77,1,1,0,9,0
238,33.5,4,77,1,1,0,8,2
239,30.0,4,77,3,1,0,9,1
240,30.5,4,77,2,1,0,7,1
241,22.0,6,77,3,3,2,7,2
242,21.5,4,77,2,2,1,5,3
243,21.5,3,77,3,3,0,6,3
244,43.1,4,78,2,1,0,14,0
245,36.1,4,78,1,0,0,7,1
246,32.8,4,78,3,1,0,12,0
247,39.4,4,78,3,1,0,11,1
248,36.1,4,78,3,0,0,9,0
249,19.9,8,78,1,4,5,8,3
250,19.4,8,78,1,6,6,6,5
251,20.2,8,78,1,5,6,5,5
252,19.2,6,78,1,5,4,12,3
253,20.5,6,78,1,4,3,11,2
254,20.2,6,78,1,3,3,8,2
255,25.1,4,78,1,3,1,8,2
256,20.5,6,78,1,5,4,10,3
257,19.4,6,78,1,4,4,10,2
258,20.6,6,78,1,5,4,8,3
259,20.8,6,78,1,4,3,9,2
260,18.6,6,78,1,5,4,11,3
261,18.1,6,78,1,5,5,8,4
262,19.2,8,78,1,5,6,6,5
263,17.7,6,78,1,5,4,6,6
264,18.1,8,78,1,4,6,4,5
265,17.5,8,78,1,7,6,6,5
266,30.0,4,78,1,1,0,9,1
267,27.5,4,78,3,2,1,7,2
268,27.2,4,78,3,1,1,7,2
269,30.9,4,78,1,1,0,7,1
270,21.1,4,78,3,2,1,7,2
271,23.2,4,78,1,3,2,9,3
272,23.8,4,78,1,3,2,10,2
273,23.9,4,78,3,2,1,7,2
274,20.3,5,78,2,3,1,8,3
275,17.0,6,78,2,4,2,6,4
276,21.6,4,78,2,3,1,8,3
277,16.2,6,78,2,5,2,8,4
278,31.5,4,78,2,1,0,7,1
279,29.5,4,78,3,1,0,9,1
280,21.5,6,79,1,4,4,8,3
281,19.8,6,79,1,3,3,11,2
282,22.3,4,79,1,3,1,10,2
283,20.2,6,79,1,4,4,11,2
284,20.6,6,79,1,4,4,9,3
285,17.0,8,79,1,6,6,8,4
286,17.6,8,79,1,6,6,6,4
287,16.5,8,79,1,6,7,6,5
288,18.2,8,79,1,6,6,8,4
289,16.9,8,79,1,7,7,7,6
290,15.5,8,79,1,6,7,7,5
291,19.2,8,79,1,5,5,7,4
292,18.5,8,79,1,6,7,5,5
293,31.9,4,79,2,0,0,6,1
294,34.1,4,79,3,1,0,8,1
295,35.7,4,79,1,0,0,7,1
296,27.4,4,79,1,3,1,7,1
297,25.4,5,79,2,5,3,13,1
298,23.0,8,79,1,6,7,10,4
299,27.2,4,79,2,4,1,16,1
300,23.9,8,79,1,5,5,15,2
301,34.2,4,79,1,1,0,6,1
302,34.5,4,79,1,1,0,7,1
303,31.8,4,79,3,1,0,12,1
304,37.3,4,79,2,1,0,7,1
305,28.4,4,79,1,3,2,8,2
306,28.8,6,79,1,2,2,4,3
307,26.8,6,79,1,3,2,5,3
308,33.5,4,79,1,2,2,6,2
309,41.5,4,80,2,1,0,7,1
310,38.1,4,80,3,1,0,11,0
311,32.1,4,80,1,1,0,8,1
312,37.2,4,80,3,1,0,9,1
313,28.0,4,80,1,3,2,9,2
314,26.4,4,80,1,3,1,11,2
315,24.3,4,80,1,3,2,13,2
316,19.1,6,80,1,5,4,11,2
317,34.3,4,80,2,1,0,8,1
318,29.8,4,80,3,3,1,8,2
319,31.3,4,80,3,2,1,10,1
320,37.0,4,80,3,2,1,7,2
321,32.2,4,80,3,1,1,8,1
322,46.6,4,80,3,1,0,10,1
323,27.9,4,80,1,3,2,7,3
324,40.8,4,80,3,1,0,12,1
325,44.3,4,80,2,1,0,14,0
326,43.4,4,80,2,2,0,16,0
327,36.4,5,80,2,3,1,12,1
328,30.0,4,80,2,4,2,14,1
329,44.6,4,80,3,0,0,6,1
330,40.9,4,80,2,0,0,10,1
331,33.8,4,80,3,1,0,10,1
332,29.8,4,80,2,0,0,8,0
333,32.7,6,80,3,3,2,4,4
334,23.7,3,80,3,2,0,5,3
335,35.0,4,80,2,2,1,8,2
336,23.6,4,80,1,3,1,7,2
337,32.4,4,80,3,1,1,9,1
338,27.2,4,81,1,2,1,8,2
339,26.6,4,81,1,2,2,9,2
340,25.8,4,81,1,2,2,7,2
341,23.5,6,81,1,3,2,5,3
342,30.0,4,81,1,2,1,5,2
343,39.1,4,81,3,0,0,9,0
344,39.0,4,81,1,0,0,9,1
345,35.1,4,81,3,0,0,9,0
346,32.3,4,81,3,1,0,10,1
347,37.0,4,81,3,1,0,12,1
348,37.7,4,81,3,1,0,10,0
349,34.1,4,81,3,1,0,8,1
350,34.7,4,81,1,1,0,7,0
351,34.4,4,81,1,1,0,9,1
352,29.9,4,81,1,2,0,13,1
353,33.0,4,81,2,1,0,7,1
354,34.5,4,81,2,2,0,8,1
355,33.7,4,81,3,1,1,7,1
356,32.4,4,81,3,2,1,9,1
357,32.9,4,81,3,2,1,7,3
358,31.6,4,81,3,2,1,11,1
359,28.1,4,81,2,4,1,13,1
360,30.7,6,81,2,4,2,12,1
361,25.4,6,81,3,3,2,5,3
362,24.2,6,81,3,3,2,6,4
363,22.4,6,81,1,5,4,8,3
364,26.6,8,81,1,6,7,11,3
365,20.2,6,81,1,4,3,10,2
366,17.6,6,81,1,5,4,9,2
367,28.0,4,82,1,2,1,12,2
368,27.0,4,82,1,2,1,11,2
369,34.0,4,82,1,2,1,10,2
370,31.0,4,82,1,2,1,9,2
371,29.0,4,82,1,2,1,8,2
372,27.0,4,82,1,3,2,10,2
373,24.0,4,82,1,3,1,9,2
374,23.0,4,82,1,4,2,13,2
375,36.0,4,82,2,1,0,8,1
376,37.0,4,82,3,1,0,11,1
377,31.0,4,82,3,1,0,10,1
378,38.0,4,82,1,1,0,7,0
379,36.0,4,82,1,1,0,10,1
380,36.0,4,82,3,1,1,7,2
381,36.0,4,82,3,1,1,7,1
382,34.0,4,82,3,1,1,9,1
383,38.0,4,82,3,1,0,7,1
384,32.0,4,82,3,1,0,8,1
385,38.0,4,82,3,1,0,9,1
386,25.0,6,82,1,3,2,9,3
387,38.0,6,82,1,3,5,9,2
388,26.0,4,82,1,2,2,7,2
389,22.0,6,82,1,3,4,7,3
390,32.0,4,82,3,2,2,6,2
391,36.0,4,82,1,2,1,5,2
392,27.0,4,82,1,3,2,10,2
393,27.0,4,82,1,3,1,8,2
394,44.0,4,82,2,1,0,16,0
395,32.0,4,82,1,1,1,4,2
396,28.0,4,82,1,2,1,11,1
397,31.0,4,82,1,3,1,12,2
